id_account,account_created_date,visit_date
649280,2020-11-01,
676055,2020-11-01,2020-11-02
677981,2020-11-01,
672927,2020-11-01,2020-11-02
672927,2020-11-01,2020-11-09
672927,2020-11-01,2020-11-10
672927,2020-11-01,2020-11-20
672927,2020-11-01,2020-11-22
653089,2020-11-01,
652773,2020-11-01,
661871,2020-11-01,
654307,2020-11-01,
652752,2020-11-01,
648475,2020-11-01,
651134,2020-11-01,
649609,2020-11-01,
660369,2020-11-01,
651928,2020-11-01,
653099,2020-11-01,
663378,2020-11-01,
640133,2020-11-01,
680137,2020-11-01,2020-11-01
653552,2020-11-01,
675479,2020-11-01,
649713,2020-11-01,
647376,2020-11-01,
661672,2020-11-01,2020-11-27
640503,2020-11-01,
649838,2020-11-01,
653733,2020-11-01,
679178,2020-11-01,
640638,2020-11-01,
662464,2020-11-01,
645222,2020-11-01,
677899,2020-11-01,
680295,2020-11-01,
668620,2020-11-01,
657798,2020-11-01,
649805,2020-11-01,
660141,2020-11-01,
670690,2020-11-01,
652508,2020-11-01,
654428,2020-11-01,
646333,2020-11-01,
670629,2020-11-01,2020-11-01
670629,2020-11-01,2020-11-02
670629,2020-11-01,2020-11-04
670629,2020-11-01,2020-11-06
670629,2020-11-01,2020-11-07
670629,2020-11-01,2020-11-09
664841,2020-11-01,2020-11-11
664841,2020-11-01,2020-11-20
664841,2020-11-01,2020-11-22
664841,2020-11-01,2020-11-25
638499,2020-11-01,
674730,2020-11-01,2020-11-02
647530,2020-11-01,
667703,2020-11-01,
637585,2020-11-01,
680888,2020-11-01,
665144,2020-11-01,
638528,2020-11-01,
663128,2020-11-01,
666049,2020-11-01,
676979,2020-11-01,
655675,2020-11-01,
670902,2020-11-01,
651296,2020-11-01,
672175,2020-11-01,
676358,2020-11-01,
646657,2020-11-01,
638649,2020-11-01,
674492,2020-11-01,
636138,2020-11-01,
656983,2020-11-01,
653806,2020-11-01,
655695,2020-11-01,
664538,2020-11-01,
639060,2020-11-01,
653918,2020-11-01,
648547,2020-11-01,
653404,2020-11-01,
648315,2020-11-01,
674704,2020-11-01,
643296,2020-11-01,
642458,2020-11-01,
645954,2020-11-01,
679798,2020-11-01,
656931,2020-11-01,
640624,2020-11-01,
637963,2020-11-01,
678615,2020-11-01,
651410,2020-11-01,
667447,2020-11-01,
663407,2020-11-01,
649872,2020-11-01,
639931,2020-11-01,
672792,2020-11-01,2020-11-01
672792,2020-11-01,2020-11-02
672792,2020-11-01,2020-11-03
654705,2020-11-01,
664828,2020-11-01,
646797,2020-11-01,
653821,2020-11-01,
657896,2020-11-01,
670056,2020-11-01,2020-11-02
670056,2020-11-01,2020-11-04
670056,2020-11-01,2020-11-16
676192,2020-11-01,
673969,2020-11-01,
674507,2020-11-01,
657177,2020-11-01,
680363,2020-11-01,
651837,2020-11-01,
660629,2020-11-01,2020-11-27
660629,2020-11-01,2020-11-28
652463,2020-11-01,
661305,2020-11-01,
641362,2020-11-01,
667562,2020-11-01,
673099,2020-11-01,2020-11-02
673099,2020-11-01,2020-11-03
673099,2020-11-01,2020-11-04
673099,2020-11-01,2020-11-05
673099,2020-11-01,2020-11-06
673099,2020-11-01,2020-11-08
673099,2020-11-01,2020-11-10
673099,2020-11-01,2020-11-12
673099,2020-11-01,2020-11-13
673099,2020-11-01,2020-11-14
673099,2020-11-01,2020-11-17
673099,2020-11-01,2020-11-21
647405,2020-11-01,
676965,2020-11-01,
679489,2020-11-01,
681586,2020-11-01,
645577,2020-11-01,
675140,2020-11-01,
655932,2020-11-01,
679102,2020-11-01,2020-11-08
670011,2020-11-01,2020-11-13
670011,2020-11-01,2020-11-20
655604,2020-11-01,
667710,2020-11-01,
654476,2020-11-01,
672906,2020-11-01,
653770,2020-11-01,
680334,2020-11-01,2020-11-05
655632,2020-11-01,
680638,2020-11-01,
644383,2020-11-01,
679868,2020-11-01,2020-11-02
655106,2020-11-01,
647323,2020-11-01,
669053,2020-11-01,
659927,2020-11-01,
650860,2020-11-01,
653943,2020-11-01,
643282,2020-11-01,
672503,2020-11-01,2020-11-01
672503,2020-11-01,2020-11-02
672503,2020-11-01,2020-11-04
672503,2020-11-01,2020-11-20
652960,2020-11-01,
644754,2020-11-01,
662540,2020-11-01,2020-11-17
662540,2020-11-01,2020-11-18
662540,2020-11-01,2020-11-23
662540,2020-11-01,2020-11-25
662540,2020-11-01,2020-11-28
638057,2020-11-01,
657758,2020-11-01,
644139,2020-11-01,
681528,2020-11-01,2020-11-02
669036,2020-11-01,
641154,2020-11-01,
667654,2020-11-01,
640741,2020-11-01,
673030,2020-11-01,2020-11-06
652137,2020-11-01,
653730,2020-11-01,
666900,2020-11-01,
669522,2020-11-01,
644499,2020-11-01,
674700,2020-11-01,
679766,2020-11-01,
651659,2020-11-01,
653564,2020-11-01,
671973,2020-11-01,
663390,2020-11-01,2020-11-16
663390,2020-11-01,2020-11-18
663390,2020-11-01,2020-11-19
677314,2020-11-01,
662037,2020-11-01,
663747,2020-11-01,
677502,2020-11-01,
645138,2020-11-01,
657963,2020-11-01,
668885,2020-11-01,
